Date,Views,   Country,    Traffic,    Rating
01/06/2021,7831,USA,234,2
02/06/2021,7798,Germany,235,3
03/06/2021,7401,Africa,236,4
04/06/2021,7054,India,237,5
05/06/2021,7973,Pakistan,,4
06/06/2021,9114,Bangladesh,567,3
07/06/2021,10387,Srilanka,240,3
08/06/2021,8895,Russia,567,5
09/06/2021,9048,Japan,,4
10/06/2021,8431,Nepal,890,2
11/06/2021,8342,Korea,,2
12/06/2021,7720,USA,900,3
13/06/2021,7622,Germany,246,4
14/06/2021,10023,Africa,234,5
15/06/2021,9558,India,235,4
16/06/2021,9820,Pakistan,236,3
17/06/2021,8541,Bangladesh,237,3
18/06/2021,7803,Srilanka,0,5
19/06/2021,7092,Russia,567,4
20/06/2021,7386,Japan,240,2
21/06/2021,8298,Nepal,567,2
22/06/2021,8044,Korea,0,3
23/06/2021,7828,USA,890,4
24/06/2021,7455,Germany,0,5
25/06/2021,7559,Africa,900,4
26/06/2021,7349,India,246,3
27/06/2021,6953,Pakistan,234,3
28/06/2021,7996,Bangladesh,235,5
29/06/2021,8328,Srilanka,236,4
30/06/2021,7669,Russia,237,2
01/07/2021,6463,Japan,0,2
02/07/2021,6762,Nepal,567,3
03/07/2021,7648,Korea,240,4
04/07/2021,6870,USA,567,5
05/07/2021,7687,Germany,0,4
06/07/2021,8336,Africa,890,3
07/07/2021,7609,India,0,3
08/07/2021,7457,Germany,900,5
09/07/2021,7868,Africa,246,4
10/07/2021,8458,India,234,2
11/07/2021,6380,Pakistan,235,2
12/07/2021,7762,Bangladesh,236,3
13/07/2021,8538,Srilanka,237,4
14/07/2021,7898,Russia,0,5
15/07/2021,7968,Japan,567,4
16/07/2021,7729,Nepal,240,3
17/07/2021,7288,Korea,567,3
18/07/2021,7290,USA,0,5
19/07/2021,8024,Srilanka,890,4
20/07/2021,8076,Russia,0,2
21/07/2021,7494,Japan,900,2
22/07/2021,7962,Nepal,246,3
23/07/2021,8016,Korea,234,4
24/07/2021,7993,USA,235,5
25/07/2021,6810,Germany,236,4
26/07/2021,8240,Africa,237,3
27/07/2021,8921,India,0,3
28/07/2021,8198,Pakistan,567,5
29/07/2021,8095,Bangladesh,240,4
30/07/2021,7880,Germany,567,2
31/07/2021,7072,Africa,0,2
01/08/2021,6235,India,890,3
02/08/2021,7810,Pakistan,0,4
03/08/2021,8546,Bangladesh,900,5
04/08/2021,7941,Srilanka,246,4
05/08/2021,7308,Russia,234,3
06/08/2021,7440,Japan,235,3
07/08/2021,7509,Nepal,236,5
08/08/2021,6605,Korea,237,4
09/08/2021,9002,USA,0,2
10/08/2021,9104,Germany,567,2
11/08/2021,9131,Africa,240,3
12/08/2021,9085,India,567,4
13/08/2021,7485,Pakistan,0,5
14/08/2021,7599,Bangladesh,890,4
15/08/2021,7153,Srilanka,0,3
16/08/2021,8478,Russia,900,3
17/08/2021,8145,Japan,246,5
18/08/2021,7805,Nepal,234,4
19/08/2021,8512,Korea,235,2
20/08/2021,7076,USA,236,2
21/08/2021,7305,Germany,237,3
22/08/2021,6792,Africa,0,4
23/08/2021,8209,India,567,5
24/08/2021,8596,Pakistan,240,4
25/08/2021,8240,Bangladesh,567,3
26/08/2021,8633,Srilanka,0,3
27/08/2021,7607,Russia,890,5
28/08/2021,7006,Japan,0,4
29/08/2021,6680,Nepal,900,2
30/08/2021,8134,Korea,246,2
31/08/2021,8384,USA,234,3
01/09/2021,8326,Germany,235,4
02/09/2021,8248,Africa,236,5
03/09/2021,7418,India,237,4
04/09/2021,7039,Pakistan,0,3
05/09/2021,6796,Bangladesh,567,3
06/09/2021,8809,Srilanka,240,5
07/09/2021,9841,Russia,567,4
08/09/2021,9605,Japan,0,2
09/09/2021,8531,Nepal,890,2
10/09/2021,7059,Korea,0,3
11/09/2021,8172,USA,900,4
12/09/2021,8077,Germany,246,5
13/09/2021,10018,Africa,234,4
14/09/2021,9050,India,235,3
15/09/2021,9450,Pakistan,236,3
16/09/2021,8977,Bangladesh,237,5
17/09/2021,8689,Srilanka,0,4
18/09/2021,7678,Russia,567,2
19/09/2021,6830,Japan,240,2
20/09/2021,9723,Nepal,567,3
21/09/2021,9869,Korea,0,4
22/09/2021,9523,USA,890,5
23/09/2021,10481,Germany,0,4
24/09/2021,9193,Africa,900,3
25/09/2021,8204,India,246,3
26/09/2021,7776,Pakistan,234,5
27/09/2021,9857,Bangladesh,235,4
28/09/2021,9977,Srilanka,236,2
29/09/2021,10028,Russia,237,2
30/09/2021,9785,Japan,0,3
01/10/2021,8916,Nepal,567,4
02/10/2021,8310,Korea,240,5
03/10/2021,7893,USA,567,4
04/10/2021,10718,Germany,0,3
05/10/2021,10399,Africa,890,3
06/10/2021,9128,India,0,5
07/10/2021,9271,Pakistan,900,4
08/10/2021,8749,Bangladesh,246,2
09/10/2021,8055,Srilanka,234,2
10/10/2021,7251,Russia,235,3
11/10/2021,8860,Japan,236,4
12/10/2021,8634,Nepal,237,5
13/10/2021,7863,Korea,0,4
14/10/2021,7481,USA,567,3
15/10/2021,6743,Germany,240,3
16/10/2021,9054,Africa,567,5
17/10/2021,7480,India,0,4
18/10/2021,8749,Pakistan,890,2
19/10/2021,9506,Bangladesh,0,2
20/10/2021,9416,Srilanka,900,3
21/10/2021,9354,Russia,246,4
22/10/2021,9120,Japan,234,5
23/10/2021,7949,Nepal,235,4
24/10/2021,7363,Korea,236,3
25/10/2021,9926,USA,237,3
26/10/2021,10130,Germany,0,5
27/10/2021,9114,Africa,567,4
28/10/2021,8795,India,240,2
29/10/2021,9006,Pakistan,567,2
30/10/2021,7586,Bangladesh,0,3
31/10/2021,6761,Srilanka,890,4
01/11/2021,8276,Russia,0,5
02/11/2021,8193,Japan,900,4
03/11/2021,7223,Nepal,246,3
04/11/2021,5772,Korea,234,3
05/11/2021,6378,USA,235,5
06/11/2021,6367,Germany,236,4
07/11/2021,7923,Africa,237,2
08/11/2021,8972,India,0,2
09/11/2021,9517,Pakistan,567,3
10/11/2021,9612,Bangladesh,240,4
11/11/2021,8933,Srilanka,567,5
12/11/2021,8449,Russia,0,4
13/11/2021,7505,Japan,890,3
14/11/2021,7401,Nepal,0,3
15/11/2021,9413,Korea,900,5
16/11/2021,9435,USA,246,4
17/11/2021,9412,Germany,234,2
18/11/2021,9057,Africa,235,2
19/11/2021,8336,India,236,3
20/11/2021,6617,Pakistan,237,4
21/11/2021,6916,Bangladesh,0,5
22/11/2021,8723,Srilanka,567,4
23/11/2021,9296,Russia,240,3
24/11/2021,9460,Japan,567,3
25/11/2021,8971,Nepal,0,5
26/11/2021,7131,Korea,890,4
27/11/2021,6516,USA,0,2
28/11/2021,6838,Germany,900,2
29/11/2021,8605,Africa,246,3
30/11/2021,8345,India,234,4
01/12/2021,8363,Pakistan,235,5
02/12/2021,7698,Bangladesh,236,4
03/12/2021,6956,Srilanka,237,3
04/12/2021,6389,Russia,0,3
05/12/2021,6260,Japan,567,5
06/12/2021,8335,Nepal,240,4
07/12/2021,8858,Korea,567,2
08/12/2021,8971,USA,0,2
09/12/2021,8599,Germany,890,3
10/12/2021,7815,Africa,0,4
11/12/2021,7203,India,900,5
12/12/2021,7627,Pakistan,246,4
13/12/2021,8685,Bangladesh,234,3
14/12/2021,8747,Srilanka,235,3
15/12/2021,8592,Russia,236,5
16/12/2021,7680,Japan,237,4
17/12/2021,7832,Nepal,0,2
18/12/2021,7952,Korea,567,2
19/12/2021,6907,USA,240,3
20/12/2021,8840,Germany,567,4
21/12/2021,7254,Africa,0,5
22/12/2021,6883,India,890,4
23/12/2021,7083,Pakistan,0,3
24/12/2021,5646,Bangladesh,900,3
25/12/2021,4812,Srilanka,246,5
26/12/2021,5407,Russia,234,4
27/12/2021,7000,Japan,235,2
28/12/2021,7581,Nepal,236,2
29/12/2021,7338,Korea,237,3
30/12/2021,6683,USA,0,4
31/12/2021,5033,Germany,567,5
01/01/2022,4478,Africa,240,4
02/01/2022,6366,India,567,3
03/01/2022,7498,Pakistan,0,3
04/01/2022,7885,Bangladesh,890,5
05/01/2022,7490,Srilanka,0,4
06/01/2022,7419,Russia,900,2
07/01/2022,6673,Japan,246,2
08/01/2022,7136,Nepal,234,3
09/01/2022,6668,Korea,235,4
10/01/2022,8341,USA,236,5
11/01/2022,8311,Germany,237,4
12/01/2022,8201,Germany,0,3
13/01/2022,7998,Africa,567,3
14/01/2022,6541,India,240,5
15/01/2022,6314,Pakistan,567,4
16/01/2022,6570,Bangladesh,0,2
17/01/2022,8139,Srilanka,890,2
18/01/2022,9194,Russia,0,3
19/01/2022,7850,Japan,900,4
20/01/2022,8470,Nepal,246,5
21/01/2022,7760,Korea,234,4
22/01/2022,6589,USA,235,3
23/01/2022,6981,Germany,236,3
24/01/2022,7667,Africa,237,5
25/01/2022,7850,India,0,4
26/01/2022,7235,Pakistan,567,2
27/01/2022,8079,Bangladesh,240,2
28/01/2022,8418,Srilanka,567,3
29/01/2022,7371,Russia,0,4
30/01/2022,6842,Japan,890,5
31/01/2022,8079,Nepal,0,4
01/02/2022,8284,Korea,900,3
02/02/2022,8603,USA,246,3
03/02/2022,7974,Germany,234,5
04/02/2022,7550,Africa,235,4
05/02/2022,6811,India,236,2
06/02/2022,6338,Pakistan,237,2
07/02/2022,8919,Bangladesh,0,3
08/02/2022,8066,Srilanka,567,4
09/02/2022,8747,Russia,240,5
10/02/2022,8676,Japan,567,4
11/02/2022,8088,Nepal,0,3
12/02/2022,7522,Korea,890,3
13/02/2022,7244,USA,0,5
14/02/2022,8524,Germany,900,4
15/02/2022,9541,Africa,246,2
16/02/2022,8956,India,234,2
17/02/2022,8860,Pakistan,235,3
18/02/2022,8630,Bangladesh,236,4
19/02/2022,8874,Srilanka,237,5
20/02/2022,7805,Russia,0,4
21/02/2022,10154,Japan,567,3
22/02/2022,10080,Nepal,240,3
23/02/2022,10327,Korea,567,5
24/02/2022,8908,USA,0,4
25/02/2022,9111,Germany,890,2
26/02/2022,7669,Africa,0,2
27/02/2022,7565,India,900,3
28/02/2022,8896,Pakistan,246,4
01/03/2022,8476,Bangladesh,234,5
02/03/2022,8760,Srilanka,235,4
03/03/2022,8882,Russia,236,3
04/03/2022,8696,Japan,237,3
05/03/2022,8003,Nepal,0,5
06/03/2022,7424,Korea,567,4
07/03/2022,9560,USA,240,2
08/03/2022,9459,Germany,567,2
09/03/2022,9717,Africa,0,3
10/03/2022,11486,India,890,4
11/03/2022,9259,Pakistan,0,5
12/03/2022,7762,Bangladesh,900,4
13/03/2022,9137,Srilanka,246,3
14/03/2022,10533,Russia,234,3
15/03/2022,11846,Japan,235,5
16/03/2022,9961,Nepal,236,4
17/03/2022,9312,Korea,237,2
18/03/2022,7859,USA,0,2
19/03/2022,8860,Germany,567,3
20/03/2022,8304,Africa,240,4
21/03/2022,10584,India,567,5
22/03/2022,10210,Pakistan,0,4
23/03/2022,9505,Bangladesh,890,3
24/03/2022,10292,Srilanka,0,3
25/03/2022,8940,Russia,900,5
26/03/2022,7811,Japan,246,4
27/03/2022,7455,Nepal,234,2
28/03/2022,9282,Korea,235,2
29/03/2022,10620,USA,236,3
30/03/2022,9960,Germany,237,4
31/03/2022,7643,Africa,0,5
01/04/2022,8133,India,567,4
02/04/2022,7110,Pakistan,240,3
03/04/2022,8519,Bangladesh,567,3
04/04/2022,10397,Srilanka,0,5
05/04/2022,10234,Russia,890,4
06/04/2022,10225,Japan,0,2
07/04/2022,10088,Nepal,900,2
08/04/2022,8753,Korea,246,3
09/04/2022,8117,USA,234,4
10/04/2022,8531,Germany,235,5
11/04/2022,10000,Africa,236,4
12/04/2022,10190,India,237,3
13/04/2022,9399,Pakistan,0,3
14/04/2022,8356,Bangladesh,567,5
15/04/2022,8283,Srilanka,240,4
16/04/2022,9476,Russia,567,2
17/04/2022,8379,Japan,0,2
18/04/2022,11347,Nepal,890,3
19/04/2022,12156,Korea,0,4
20/04/2022,11547,USA,900,5
21/04/2022,9988,Germany,246,4
22/04/2022,9023,Africa,234,3
23/04/2022,7750,India,235,3
24/04/2022,8883,Pakistan,236,5
25/04/2022,11474,Bangladesh,237,4
26/04/2022,10631,Srilanka,0,2
27/04/2022,10667,Russia,567,2
28/04/2022,9938,Japan,240,3
29/04/2022,9380,Nepal,567,4
30/04/2022,8514,Korea,0,5
01/05/2022,7992,USA,890,4
02/05/2022,8766,Germany,0,3
03/05/2022,9249,Africa,900,3
04/05/2022,9896,India,246,5
05/05/2022,9672,Pakistan,234,4
06/05/2022,9113,Bangladesh,235,2
07/05/2022,8691,Srilanka,236,2
08/05/2022,7667,Russia,237,3
09/05/2022,10288,Japan,0,4
10/05/2022,11302,Nepal,567,5
11/05/2022,10337,Korea,240,4
12/05/2022,10709,USA,567,3
13/05/2022,9543,Germany,0,3
14/05/2022,7413,Africa,890,5
15/05/2022,7249,India,0,4
16/05/2022,10017,Pakistan,900,2
17/05/2022,10039,Bangladesh,246,2
18/05/2022,10967,Srilanka,234,3
19/05/2022,11589,Russia,235,4
20/05/2022,9685,Japan,236,5
21/05/2022,8536,Nepal,237,4
22/05/2022,8024,Korea,0,3
23/05/2022,10571,USA,567,3
24/05/2022,10772,Germany,240,5
25/05/2022,10437,Africa,567,4
26/05/2022,10652,India,0,2
27/05/2022,9173,Pakistan,890,2
28/05/2022,8149,Bangladesh,0,3
29/05/2022,8498,Srilanka,900,4
30/05/2022,10975,Russia,246,5
31/05/2022,10500,Japan,234,4
01/06/2022,9662,Nepal,235,3
02/06/2022,9711,Korea,236,3
03/06/2022,8604,USA,237,5
04/06/2022,8403,Germany,0,4
05/06/2022,8227,Africa,567,2
06/06/2022,9251,India,240,2
07/06/2022,9330,Pakistan,567,3
08/06/2022,9823,Bangladesh,0,4
09/06/2022,10067,Srilanka,890,5
10/06/2022,8874,Russia,0,4
11/06/2022,7361,Japan,900,3
12/06/2022,8519,Nepal,246,3
13/06/2022,10234,Korea,234,5
14/06/2022,10921,USA,235,4
15/06/2022,10758,Germany,236,2
16/06/2022,10534,Africa,237,2
17/06/2022,10471,India,0,3
18/06/2022,9079,Pakistan,567,4
19/06/2022,10163,Bangladesh,240,5
20/06/2022,11733,Srilanka,567,4
21/06/2022,11426,Russia,0,3
22/06/2022,11154,Japan,890,3
23/06/2022,10382,Nepal,0,5
24/06/2022,9555,Korea,900,4
25/06/2022,8502,USA,246,2
26/06/2022,8368,Germany,234,2
